modelo,parametros,corrida,tokens_entrada,tokens_salida,tokens_razonamiento,latencia,salida,acierto,costo_usd,timestamp
base_local,"{""parte"": ""0.b.1"", ""do_sample"": false, ""temperature"": 0.2}",1,5,40,0,0.05,"a single layer of layers, each with its own unique architecture. The cloud architecture is a set of layers that are connected to each other by a single layer of layers. The cloud architecture is a set",True,0.0,2026-09-19T11:42:38.488812
base_local,"{""parte"": ""0.b.1"", ""do_sample"": false, ""temperature"": 1.5}",1,5,40,0,0.05,"a single layer of layers, each with its own unique architecture. The cloud architecture is a set of layers that are connected to each other by a single layer of layers. The cloud architecture is a set",True,0.0,2026-09-19T11:42:38.495456
propietario_economico,"{""parte"": ""Parte 1"", ""caso_id"": ""CASE-01""}",1,89,5,0,0.841,RESOURCE_EXHAUSTION,False,1.6e-05,2026-09-19T11:43:36.760147
propietario_economico,"{""parte"": ""Parte 1"", ""caso_id"": ""CASE-02""}",1,106,5,0,0.9136,SECURITY_BREACH,True,1.9e-05,2026-09-19T11:43:36.761638
propietario_economico,"{""parte"": ""Parte 1"", ""caso_id"": ""CASE-03""}",1,103,3,0,0.9527,NETWORK_PARTITION,True,1.7e-05,2026-09-19T11:43:36.762652
propietario_economico,"{""parte"": ""Parte 1"", ""caso_id"": ""CASE-04""}",1,100,5,0,0.8112,RESOURCE_EXHAUSTION,True,1.8e-05,2026-09-19T11:43:36.763528
propietario_economico,"{""parte"": ""Parte 1"", ""caso_id"": ""CASE-05""}",1,92,3,0,0.9812,DATABASE_OUTAGE,True,1.6e-05,2026-09-19T11:43:36.764305
propietario_economico,"{""parte"": ""Parte 1"", ""caso_id"": ""CASE-06""}",1,99,5,0,0.9437,SECURITY_BREACH,True,1.8e-05,2026-09-19T11:43:36.765054
propietario_economico,"{""parte"": ""Parte 1"", ""caso_id"": ""CASE-07""}",1,95,3,0,0.8601,NETWORK_PARTITION,True,1.6e-05,2026-09-19T11:43:36.765804
propietario_economico,"{""parte"": ""Parte 1"", ""caso_id"": ""CASE-08""}",1,106,5,0,0.8134,RESOURCE_EXHAUSTION,True,1.9e-05,2026-09-19T11:43:36.766548
propietario_economico,"{""parte"": ""Parte 1"", ""caso_id"": ""CASE-09""}",1,98,5,0,0.9685,RESOURCE_EXHAUSTION,False,1.8e-05,2026-09-19T11:43:36.767885
propietario_economico,"{""parte"": ""Parte 1"", ""caso_id"": ""CASE-10""}",1,98,5,0,0.5645,SECURITY_BREACH,True,1.8e-05,2026-09-19T11:43:36.768607
open_weight_pequeno,"{""parte"": ""Parte 1"", ""caso_id"": ""CASE-01""}",1,105,4,0,5.8844,DATABASE_OUTAGE,True,0.0,2026-09-19T11:43:50.969569
open_weight_pequeno,"{""parte"": ""Parte 1"", ""caso_id"": ""CASE-02""}",1,127,4,0,6.2713,DATABASE_OUTAGE,False,0.0,2026-09-19T11:43:50.970559
open_weight_pequeno,"{""parte"": ""Parte 1"", ""caso_id"": ""CASE-03""}",1,121,4,0,6.7315,DATABASE_OUTAGE,False,0.0,2026-09-19T11:43:50.971405
open_weight_pequeno,"{""parte"": ""Parte 1"", ""caso_id"": ""CASE-04""}",1,118,4,0,7.3116,DATABASE_OUTAGE,False,0.0,2026-09-19T11:43:50.972563
open_weight_pequeno,"{""parte"": ""Parte 1"", ""caso_id"": ""CASE-05""}",1,107,4,0,3.7964,DATABASE_OUTAGE,True,0.0,2026-09-19T11:43:50.973433
open_weight_pequeno,"{""parte"": ""Parte 1"", ""caso_id"": ""CASE-06""}",1,116,4,0,4.6004,DATABASE_OUTAGE,False,0.0,2026-09-19T11:43:50.975694
open_weight_pequeno,"{""parte"": ""Parte 1"", ""caso_id"": ""CASE-07""}",1,112,4,0,4.645,DATABASE_OUTAGE,False,0.0,2026-09-19T11:43:50.977197
open_weight_pequeno,"{""parte"": ""Parte 1"", ""caso_id"": ""CASE-08""}",1,126,4,0,4.6541,DATABASE_OUTAGE,False,0.0,2026-09-19T11:43:50.978383
open_weight_pequeno,"{""parte"": ""Parte 1"", ""caso_id"": ""CASE-09""}",1,111,4,0,3.0847,DATABASE_OUTAGE,True,0.0,2026-09-19T11:43:50.979450
open_weight_pequeno,"{""parte"": ""Parte 1"", ""caso_id"": ""CASE-10""}",1,118,4,0,3.3126,DATABASE_OUTAGE,False,0.0,2026-09-19T11:43:50.980397
propietario_economico,"{""parte"": ""2.b"", ""temperature"": 0.0, ""top_p"": 0.5, ""caso"": ""CASE-01""}",1,89,5,0,0.7288,RESOURCE_EXHAUSTION,False,1.6e-05,2026-09-19T11:44:49.236538
propietario_economico,"{""parte"": ""2.b"", ""temperature"": 0.0, ""top_p"": 0.5, ""caso"": ""CASE-02""}",1,106,5,0,0.8798,SECURITY_BREACH,True,1.9e-05,2026-09-19T11:44:49.237210
propietario_economico,"{""parte"": ""2.b"", ""temperature"": 0.0, ""top_p"": 0.5, ""caso"": ""CASE-03""}",1,103,3,0,1.0645,NETWORK_PARTITION,True,1.7e-05,2026-09-19T11:44:49.237708
propietario_economico,"{""parte"": ""2.b"", ""temperature"": 0.0, ""top_p"": 0.5, ""caso"": ""CASE-04""}",1,100,5,0,0.6385,RESOURCE_EXHAUSTION,True,1.8e-05,2026-09-19T11:44:49.238185
propietario_economico,"{""parte"": ""2.b"", ""temperature"": 0.0, ""top_p"": 0.5, ""caso"": ""CASE-05""}",1,92,3,0,0.7874,DATABASE_OUTAGE,True,1.6e-05,2026-09-19T11:44:49.238686
propietario_economico,"{""parte"": ""2.b"", ""temperature"": 0.0, ""top_p"": 0.5, ""caso"": ""CASE-06""}",1,99,5,0,0.9721,SECURITY_BREACH,True,1.8e-05,2026-09-19T11:44:49.239192
propietario_economico,"{""parte"": ""2.b"", ""temperature"": 0.0, ""top_p"": 0.5, ""caso"": ""CASE-07""}",1,95,3,0,0.7077,NETWORK_PARTITION,True,1.6e-05,2026-09-19T11:44:49.239695
propietario_economico,"{""parte"": ""2.b"", ""temperature"": 0.0, ""top_p"": 0.5, ""caso"": ""CASE-08""}",1,106,5,0,0.6338,RESOURCE_EXHAUSTION,True,1.9e-05,2026-09-19T11:44:49.240194
propietario_economico,"{""parte"": ""2.b"", ""temperature"": 0.0, ""top_p"": 0.5, ""caso"": ""CASE-09""}",1,98,5,0,0.6353,RESOURCE_EXHAUSTION,False,1.8e-05,2026-09-19T11:44:49.240695
propietario_economico,"{""parte"": ""2.b"", ""temperature"": 0.0, ""top_p"": 0.5, ""caso"": ""CASE-10""}",1,98,5,0,0.7168,SECURITY_BREACH,True,1.8e-05,2026-09-19T11:44:49.241211
propietario_economico,"{""parte"": ""2.b"", ""temperature"": 0.0, ""top_p"": 0.5, ""caso"": ""CASE-01""}",2,89,5,0,0.6489,RESOURCE_EXHAUSTION,False,1.6e-05,2026-09-19T11:44:49.241727
propietario_economico,"{""parte"": ""2.b"", ""temperature"": 0.0, ""top_p"": 0.5, ""caso"": ""CASE-02""}",2,106,5,0,0.7772,SECURITY_BREACH,True,1.9e-05,2026-09-19T11:44:49.242206
propietario_economico,"{""parte"": ""2.b"", ""temperature"": 0.0, ""top_p"": 0.5, ""caso"": ""CASE-03""}",2,103,3,0,0.6162,NETWORK_PARTITION,True,1.7e-05,2026-09-19T11:44:49.242681
propietario_economico,"{""parte"": ""2.b"", ""temperature"": 0.0, ""top_p"": 0.5, ""caso"": ""CASE-04""}",2,100,5,0,0.5113,RESOURCE_EXHAUSTION,True,1.8e-05,2026-09-19T11:44:49.243156
propietario_economico,"{""parte"": ""2.b"", ""temperature"": 0.0, ""top_p"": 0.5, ""caso"": ""CASE-05""}",2,92,3,0,0.6151,DATABASE_OUTAGE,True,1.6e-05,2026-09-19T11:44:49.243553
propietario_economico,"{""parte"": ""2.b"", ""temperature"": 0.0, ""top_p"": 0.5, ""caso"": ""CASE-06""}",2,99,5,0,0.472,SECURITY_BREACH,True,1.8e-05,2026-09-19T11:44:49.243962
propietario_economico,"{""parte"": ""2.b"", ""temperature"": 0.0, ""top_p"": 0.5, ""caso"": ""CASE-07""}",2,95,3,0,0.5272,NETWORK_PARTITION,True,1.6e-05,2026-09-19T11:44:49.244358
propietario_economico,"{""parte"": ""2.b"", ""temperature"": 0.0, ""top_p"": 0.5, ""caso"": ""CASE-08""}",2,106,5,0,0.4834,RESOURCE_EXHAUSTION,True,1.9e-05,2026-09-19T11:44:49.244751
propietario_economico,"{""parte"": ""2.b"", ""temperature"": 0.0, ""top_p"": 0.5, ""caso"": ""CASE-09""}",2,98,5,0,0.542,RESOURCE_EXHAUSTION,False,1.8e-05,2026-09-19T11:44:49.245235
propietario_economico,"{""parte"": ""2.b"", ""temperature"": 0.0, ""top_p"": 0.5, ""caso"": ""CASE-10""}",2,98,5,0,0.5267,SECURITY_BREACH,True,1.8e-05,2026-09-19T11:44:49.245677
